,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,V4Glider,V4Glider,V4Glider,V4Glider,V4Glider,V4Glider,V4Glider,V4Glider:Marker 001,V4Glider:Marker 001,V4Glider:Marker 001,V4Glider:Marker 002,V4Glider:Marker 002,V4Glider:Marker 002,V4Glider:Marker 003,V4Glider:Marker 003,V4Glider:Marker 003,V4Glider:Marker 004,V4Glider:Marker 004,V4Glider:Marker 004,V4Glider:Marker 005,V4Glider:Marker 005,V4Glider:Marker 005
,ID,9373EBC6F84F11EEBD9122A53CA86A8A,9373EBC6F84F11EEBD9122A53CA86A8A,9373EBC6F84F11EEBD9122A53CA86A8A,9373EBC6F84F11EEBD9122A53CA86A8A,9373EBC6F84F11EEBD9122A53CA86A8A,9373EBC6F84F11EEBD9122A53CA86A8A,9373EBC6F84F11EEBD9122A53CA86A8A,"B5F4586A010711EFBD9122A53CA87A8A","B5F4586A010711EFBD9122A53CA87A8A","B5F4586A010711EFBD9122A53CA87A8A","B5F45868010711EFBD9122A53CA87A8A","B5F45868010711EFBD9122A53CA87A8A","B5F45868010711EFBD9122A53CA87A8A","B5F45869010711EFBD9122A53CA87A8A","B5F45869010711EFBD9122A53CA87A8A","B5F45869010711EFBD9122A53CA87A8A","B5F45866010711EFBD9122A53CA87A8A","B5F45866010711EFBD9122A53CA87A8A","B5F45866010711EFBD9122A53CA87A8A","B5F45867010711EFBD9122A53CA87A8A","B5F45867010711EFBD9122A53CA87A8A","B5F45867010711EFBD9122A53CA87A8A"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
77,0.641667,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
78,0.650000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
79,0.658333,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
80,0.666667,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
81,0.675000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
82,0.683333,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
83,0.691667,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
84,0.700000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
85,0.708333,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,
86,0.716667,-0.048393,0.012525,-0.007343,0.998723,-1119.850464,1560.915771,34.504105,-1096.375610,1567.098267,136.460739,-1155.761597,1539.445435,-110.120110,-1296.837036,1571.281616,57.146900,-1119.930908,1568.469360,36.673302,-1130.282349,1573.490723,180.777328
87,0.725000,-0.056373,0.003548,-0.006962,0.998379,-1065.800293,1569.938354,33.549534,-1044.672241,1577.606079,135.874008,-1099.502808,1546.763794,-111.140221,-1243.482178,1580.300659,52.794212,-1066.192383,1576.967651,35.524216,-1078.381104,1585.352905,179.393860
88,0.733333,-0.062955,-0.004803,-0.007315,0.997978,-1012.326721,1577.659668,32.908314,-993.096130,1586.526978,135.418747,-1042.793701,1552.445312,-111.846588,-1190.435059,1588.239380,49.164742,-1012.763855,1584.699707,34.527302,-1027.266968,1594.996582,178.266281
89,0.741667,-0.066610,-0.014195,-0.007319,0.997651,-958.874573,1584.237549,32.716728,-941.649231,1594.189087,135.026001,-986.616089,1557.691284,-112.261559,-1137.247437,1594.748535,45.580662,-959.697327,1591.473877,34.081326,-976.817810,1602.369507,177.102997
90,0.750000,-0.070553,-0.023085,-0.005366,0.997226,-905.865906,1590.173828,32.631042,-890.314026,1601.028564,134.837769,-931.054688,1562.619141,-113.119507,-1084.393921,1599.821167,42.258904,-906.874817,1597.157104,34.086544,-926.504456,1609.856323,176.514832
91,0.758333,-0.073423,-0.031327,-0.004062,0.996800,-852.786072,1595.133545,32.091164,-839.075439,1606.698364,134.488052,-875.293335,1566.732300,-113.545357,-1031.562622,1604.207031,38.804600,-853.828735,1602.034424,33.366520,-875.736206,1615.565674,175.488892
92,0.766667,-0.075900,-0.039915,-0.004070,0.996308,-799.805359,1599.140625,31.809483,-787.992065,1611.120605,134.357590,-819.616943,1569.800537,-114.098808,-978.593323,1608.052734,35.482285,-801.008667,1606.163086,32.828083,-825.365112,1620.193726,174.739471
93,0.775000,-0.076924,-0.048661,-0.003254,0.995843,-747.102356,1602.296021,31.509209,-737.064941,1614.803955,134.404907,-764.618896,1572.794067,-114.379990,-925.885925,1610.698975,32.062996,-748.347412,1609.242554,32.494873,-775.159363,1623.531982,173.833618
94,0.783333,-0.078136,-0.055291,-0.001846,0.995407,-694.941040,1605.154053,31.385445,-686.281738,1617.925537,134.159760,-709.897217,1575.134521,-114.622536,-874.015381,1612.907715,29.519983,-696.062439,1611.983276,32.546600,-724.585510,1626.737427,173.044205
